estaca;Area;Esfuerzo;size;distancia;M;C
31;35;1;8;5;7;1
31;35;1;16;6;15;1
31;35;1;17;7;15;2
31;35;1;15;8;14;1
31;35;1;11;9;9;2
31;35;1;13;10;12;1
31;35;1;15;11;12;3
31;35;1;10;12;9;1
31;35;1;19;13;16;3
31;35;1;23;14;22;1
31;35;1;29;15;25;4
31;35;1;17;16;17;0
31;35;1;14;17;10;4
31;35;1;15;18;13;2
31;35;1;15;19;12;3
31;35;1;18;20;14;4
31;35;1;1;106;1;0
32;35;1;6;8;6;0
32;35;1;12;9;12;0
32;35;1;6;10;6;0
32;35;1;5;11;5;0
32;35;1;4;12;3;1
32;35;1;7;13;7;0
32;35;1;10;14;9;1
32;35;1;10;15;7;3
32;35;1;14;16;11;3
32;35;1;1;17;0;1
32;35;1;14;18;11;3
32;35;1;10;19;7;3
32;35;1;14;20;9;5
32;35;1;1;NA;1;0
33;35;1;1;1;1;0
33;35;1;2;2;2;0
33;35;1;3;6;3;0
33;35;1;2;7;2;0
33;35;1;4;8;4;0
33;35;1;7;9;7;0
33;35;1;2;10;2;0
33;35;1;4;11;4;0
33;35;1;3;12;3;0
33;35;1;6;13;6;0
33;35;1;1;14;1;0
33;35;1;1;15;1;0
33;35;1;1;17;1;0
34;35;1;1;3;0;1
34;35;1;3;4;2;1
34;35;1;5;5;2;3
34;35;1;2;6;1;1
34;35;1;10;7;5;5
34;35;1;16;8;6;10
34;35;1;10;9;6;4
34;35;1;19;10;12;7
34;35;1;14;11;6;8
34;35;1;10;12;3;7
34;35;1;8;13;1;7
34;35;1;12;14;9;3
34;35;1;21;15;14;7
34;35;1;15;16;11;4
34;35;1;15;17;6;9
34;35;1;25;18;14;11
34;35;1;18;19;11;7
34;35;1;18;20;8;10
35;35;1;1;1;1;0
35;35;1;1;2;1;0
35;35;1;3;3;3;0
35;35;1;3;4;3;0
35;35;1;1;5;1;0
35;35;1;1;6;1;0
35;35;1;7;7;7;0
35;35;1;8;8;8;0
35;35;1;3;9;3;0
35;35;1;1;10;1;0
35;35;1;3;11;3;0
35;35;1;6;12;6;0
35;35;1;6;13;6;0
35;35;1;4;14;4;0
35;35;1;5;15;5;0
35;35;1;5;16;5;0
35;35;1;8;17;8;0
35;35;1;11;18;11;0
35;35;1;4;19;4;0
35;35;1;18;20;18;0
36;35;1;1;3;1;0
36;35;1;2;4;2;0
36;35;1;3;5;3;0
36;35;1;2;6;2;0
36;35;1;3;7;3;0
36;35;1;3;10;3;0
36;35;1;12;11;12;0
36;35;1;16;12;15;1
36;35;1;20;13;20;0
36;35;1;27;14;27;0
36;35;1;25;15;25;0
36;35;1;17;16;17;0
36;35;1;16;17;16;0
36;35;1;21;18;21;0
36;35;1;23;19;23;0
36;35;1;28;20;28;0
37;35;1;3;4;2;1
37;35;1;4;6;3;1
37;35;1;5;7;4;1
37;35;1;2;8;2;0
37;35;1;5;9;4;1
37;35;1;6;10;3;3
37;35;1;7;11;4;3
37;35;1;7;12;3;4
37;35;1;10;13;6;4
37;35;1;9;14;5;4
37;35;1;4;15;3;1
37;35;1;9;16;2;7
37;35;1;11;17;6;5
37;35;1;18;18;9;9
37;35;1;16;19;13;3
37;35;1;38;20;28;10
38;35;1;2;2;2;0
38;35;1;8;3;8;0
38;35;1;5;4;5;0
38;35;1;20;5;20;0
38;35;1;2;6;2;0
38;35;1;4;7;4;0
38;35;1;5;8;5;0
38;35;1;14;9;14;0
38;35;1;14;10;14;0
38;35;1;14;11;14;0
38;35;1;16;12;16;0
38;35;1;26;13;25;1
38;35;1;12;14;12;0
38;35;1;13;15;13;0
38;35;1;7;16;7;0
38;35;1;2;17;2;0
38;35;1;6;18;6;0
38;35;1;14;19;14;0
38;35;1;16;20;15;1
39;35;1;1;3;1;0
39;35;1;2;7;2;0
39;35;1;3;9;2;1
39;35;1;14;10;14;0
39;35;1;16;11;15;1
39;35;1;15;12;9;6
39;35;1;13;13;11;2
39;35;1;19;14;14;5
39;35;1;17;15;12;5
39;35;1;17;16;15;2
39;35;1;22;17;21;1
39;35;1;17;18;13;4
39;35;1;21;19;17;4
39;35;1;19;20;17;2
40;35;1;5;1;5;0
40;35;1;2;4;2;0
40;35;1;2;5;2;0
40;35;1;3;6;3;0
40;35;1;5;7;5;0
40;35;1;6;8;3;3
40;35;1;10;9;10;0
40;35;1;5;10;5;0
40;35;1;19;11;19;0
40;35;1;15;12;15;0
40;35;1;16;13;16;0
40;35;1;15;14;15;0
40;35;1;19;15;18;1
40;35;1;10;16;10;0
40;35;1;10;17;10;0
40;35;1;10;18;10;0
40;35;1;22;19;22;0
40;35;1;30;20;30;0
41;35;1;4;6;3;1
41;35;1;6;7;5;1
41;35;1;3;8;2;1
41;35;1;2;10;1;1
41;35;1;1;13;0;1
41;35;1;5;14;4;1
41;35;1;5;15;5;0
41;35;1;6;16;5;1
41;35;1;1;17;1;0
41;35;1;3;18;3;0
41;35;1;4;20;4;0
42;35;1;1;14;1;0
42;35;1;3;15;3;0
42;35;1;1;17;0;1
42;35;1;3;18;1;2
42;35;1;2;19;2;0
42;35;1;2;20;1;1
43;35;1;1;3;1;0
43;35;1;1;6;1;0
43;35;1;1;7;1;0
43;35;1;1;9;1;0
43;35;1;3;11;3;0
43;35;1;5;12;5;0
43;35;1;4;13;4;0
43;35;1;12;14;12;0
43;35;1;14;15;14;0
43;35;1;13;16;13;0
43;35;1;9;17;9;0
43;35;1;3;18;3;0
43;35;1;3;19;3;0
43;35;1;6;20;6;0
44;35;1;5;4;5;0
44;35;1;1;5;1;0
44;35;1;6;6;6;0
44;35;1;22;7;22;0
44;35;1;20;8;20;0
44;35;1;15;9;15;0
44;35;1;26;10;26;0
44;35;1;7;11;6;1
44;35;1;13;12;13;0
44;35;1;11;13;11;0
44;35;1;15;14;13;2
44;35;1;10;15;10;0
44;35;1;14;16;14;0
44;35;1;14;17;14;0
44;35;1;21;18;21;0
44;35;1;22;19;22;0
44;35;1;14;20;14;0
