estaca;Area;Esfuerzo;size;distancia;m;c
22;35;1;3;3;3;0
22;35;1;2;4;2;0
22;35;1;3;5;2;1
22;35;1;10;6;10;0
22;35;1;7;7;7;0
22;35;1;7;8;5;2
22;35;1;6;9;5;1
22;35;1;7;10;4;3
22;35;1;7;11;6;1
22;35;1;10;12;8;2
22;35;1;10;13;8;2
22;35;1;14;14;13;1
22;35;1;11;15;8;3
22;35;1;14;16;13;1
22;35;1;17;17;13;4
22;35;1;11;18;10;1
22;35;1;23;19;19;4
22;35;1;24;20;17;7
23;35;1;3;6;3;0
23;35;1;6;7;6;0
23;35;1;7;8;6;1
23;35;1;8;9;8;0
23;35;1;8;10;7;1
23;35;1;5;11;4;1
23;35;1;15;12;13;2
23;35;1;12;13;9;3
23;35;1;17;14;17;0
23;35;1;20;15;20;0
23;35;1;10;16;9;1
23;35;1;22;17;21;1
23;35;1;24;18;24;0
23;35;1;21;19;20;1
23;35;1;25;20;25;0
24;35;1;1;1;0;1
24;35;1;4;2;4;0
24;35;1;6;3;6;0
24;35;1;4;4;3;1
24;35;1;6;5;2;4
24;35;1;11;6;9;2
24;35;1;11;7;11;0
24;35;1;10;8;10;0
24;35;1;14;9;7;7
24;35;1;12;10;11;1
24;35;1;14;11;14;0
24;35;1;12;12;12;0
24;35;1;15;13;13;2
24;35;1;3;14;3;0
24;35;1;6;15;6;0
24;35;1;8;16;7;1
24;35;1;9;17;7;2
24;35;1;12;18;12;0
24;35;1;19;19;12;7
24;35;1;23;20;14;9
25;35;1;1;2;1;0
25;35;1;2;3;2;0
25;35;1;1;5;1;0
25;35;1;1;6;1;0
25;35;1;2;7;2;0
25;35;1;4;8;4;0
25;35;1;1;9;1;0
25;35;1;7;10;7;0
25;35;1;4;11;4;0
25;35;1;6;12;4;2
25;35;1;2;13;2;0
25;35;1;9;14;9;0
25;35;1;4;15;3;1
25;35;1;12;16;12;0
25;35;1;22;17;21;1
25;35;1;6;18;6;0
25;35;1;16;19;15;1
25;35;1;16;20;14;2
26;35;1;2;3;2;0
26;35;1;4;5;4;0
26;35;1;7;6;7;0
26;35;1;5;7;5;0
26;35;1;8;8;8;0
26;35;1;7;9;7;0
26;35;1;13;10;13;0
26;35;1;4;11;4;0
26;35;1;3;12;3;0
26;35;1;1;14;0;1
26;35;1;4;16;4;0
26;35;1;1;17;1;0
26;35;1;5;18;5;0
26;35;1;2;19;2;0
26;35;1;12;20;12;0
27;35;1;2;3;2;0
27;35;1;2;5;2;0
27;35;1;4;6;4;0
27;35;1;8;7;8;0
27;35;1;9;8;9;0
27;35;1;1;9;1;0
27;35;1;4;10;4;0
27;35;1;5;11;5;0
27;35;1;6;12;6;0
27;35;1;11;13;11;0
27;35;1;10;14;10;0
27;35;1;10;15;10;0
27;35;1;17;16;17;0
27;35;1;15;17;15;0
27;35;1;8;18;7;1
27;35;1;11;19;9;2
27;35;1;10;20;9;1
28;35;1;1;3;0;1
28;35;1;3;4;2;1
28;35;1;5;5;5;0
28;35;1;7;6;5;2
28;35;1;9;7;7;2
28;35;1;16;8;16;0
28;35;1;4;9;4;0
28;35;1;5;10;4;1
28;35;1;7;11;7;0
28;35;1;9;12;7;2
28;35;1;11;13;4;7
28;35;1;11;14;10;1
28;35;1;4;15;2;2
28;35;1;5;16;2;3
28;35;1;5;17;4;1
28;35;1;9;18;4;5
28;35;1;6;19;4;2
28;35;1;17;20;7;10
29;35;1;1;4;1;0
29;35;1;3;5;3;0
29;35;1;3;6;3;0
29;35;1;7;7;7;0
29;35;1;10;9;10;0
29;35;1;17;10;15;2
29;35;1;15;11;15;0
29;35;1;16;12;15;1
29;35;1;20;13;20;0
29;35;1;14;14;14;0
29;35;1;29;15;29;0
29;35;1;15;16;10;5
29;35;1;17;17;15;2
29;35;1;20;18;16;4
29;35;1;5;19;2;3
29;35;1;23;20;19;4
30;35;1;2;4;2;0
30;35;1;10;5;10;0
30;35;1;7;6;5;2
30;35;1;7;7;5;2
30;35;1;4;8;4;0
30;35;1;7;9;6;1
30;35;1;5;10;2;3
30;35;1;3;11;1;2
30;35;1;11;12;6;5
30;35;1;8;13;6;2
30;35;1;17;14;11;6
30;35;1;9;15;7;2
30;35;1;14;16;13;1
30;35;1;16;17;14;2
30;35;1;15;18;11;4
30;35;1;16;19;14;2
30;35;1;22;20;19;3
31;35;1;3;4;3;0
31;35;1;7;5;7;0
31;35;1;4;6;4;0
31;35;1;13;7;13;0
31;35;1;6;8;5;1
31;35;1;7;9;7;0
31;35;1;8;10;7;1
31;35;1;10;11;9;1
31;35;1;12;12;12;0
