estaca;area;esfuerzo;size;distancia;mata;cueva;ano;mes ;dia;semana;cant_obs
7;34,9898;1;12;19;8;4;2015;;;;
7;34,9898;1;14;20;10;4;2015;;;;
8;34,9898;1;1;5;0;1;2015;;;;
8;34,9898;1;2;6;0;2;2015;;;;
8;34,9898;1;3;7;0;3;2015;;;;
8;34,9898;1;2;8;0;2;2015;;;;
8;34,9898;1;1;9;0;1;2015;;;;
8;34,9898;1;1;10;0;1;2015;;;;
8;34,9898;1;1;11;0;1;2015;;;;
8;34,9898;1;3;12;0;3;2015;;;;
8;34,9898;1;3;13;0;3;2015;;;;
8;34,9898;1;3;14;0;3;2015;;;;
8;34,9898;1;3;15;0;3;2015;;;;
8;34,9898;1;8;16;0;8;2015;;;;
8;34,9898;1;3;17;0;3;2015;;;;
8;34,9898;1;9;18;3;6;2015;;;;
8;34,9898;1;9;19;3;6;2015;;;;
8;34,9898;1;28;20;7;21;2015;;;;
9;34,9898;1;1;2;1;0;2015;;;;
9;34,9898;1;7;3;7;0;2015;;;;
9;34,9898;1;4;4;4;0;2015;;;;
9;34,9898;1;5;5;5;0;2015;;;;
9;34,9898;1;5;6;5;0;2015;;;;
9;34,9898;1;2;9;2;0;2015;;;;
9;34,9898;1;3;11;3;0;2015;;;;
9;34,9898;1;2;12;2;0;2015;;;;
9;34,9898;1;1;13;1;0;2015;;;;
9;34,9898;1;2;14;2;0;2015;;;;
9;34,9898;1;10;15;9;1;2015;;;;
9;34,9898;1;6;16;6;0;2015;;;;
9;34,9898;1;10;17;10;0;2015;;;;
9;34,9898;1;8;18;5;3;2015;;;;
9;34,9898;1;5;19;5;0;2015;;;;
9;34,9898;1;2;20;2;0;2015;;;;
10;34,9898;1;7;4;6;1;2015;;;;
10;34,9898;1;2;5;1;1;2015;;;;
10;34,9898;1;4;6;4;0;2015;;;;
10;34,9898;1;6;7;5;1;2015;;;;
10;34,9898;1;6;8;5;1;2015;;;;
10;34,9898;1;3;9;1;2;2015;;;;
10;34,9898;1;1;10;0;1;2015;;;;
10;34,9898;1;3;11;1;2;2015;;;;
10;34,9898;1;3;12;1;2;2015;;;;
10;34,9898;1;3;13;0;3;2015;;;;
10;34,9898;1;4;14;2;2;2015;;;;
10;34,9898;1;2;15;2;0;2015;;;;
10;34,9898;1;2;16;1;1;2015;;;;
10;34,9898;1;3;17;2;1;2015;;;;
10;34,9898;1;9;18;4;5;2015;;;;
10;34,9898;1;12;19;7;5;2015;;;;
10;34,9898;1;11;20;8;3;2015;;;;
11;34,9898;1;5;2;5;0;2015;;;;
11;34,9898;1;6;3;6;0;2015;;;;
11;34,9898;1;8;4;8;0;2015;;;;
11;34,9898;1;10;5;5;5;2015;;;;
11;34,9898;1;4;6;3;1;2015;;;;
11;34,9898;1;11;7;7;4;2015;;;;
11;34,9898;1;15;8;9;6;2015;;;;
11;34,9898;1;12;9;10;2;2015;;;;
11;34,9898;1;5;10;0;5;2015;;;;
11;34,9898;1;15;11;15;0;2015;;;;
11;34,9898;1;10;12;8;2;2015;;;;
11;34,9898;1;7;13;4;3;2015;;;;
11;34,9898;1;5;14;5;0;2015;;;;
11;34,9898;1;8;15;2;6;2015;;;;
11;34,9898;1;4;16;3;1;2015;;;;
11;34,9898;1;18;17;15;3;2015;;;;
11;34,9898;1;5;18;3;2;2015;;;;
11;34,9898;1;4;19;3;1;2015;;;;
11;34,9898;1;16;20;15;1;2015;;;;
12;34,9898;1;3;1;3;0;2015;;;;
12;34,9898;1;3;2;3;0;2015;;;;
12;34,9898;1;9;3;9;0;2015;;;;
12;34,9898;1;6;4;6;0;2015;;;;
12;34,9898;1;9;5;9;0;2015;;;;
12;34,9898;1;12;6;12;0;2015;;;;
12;34,9898;1;9;7;9;0;2015;;;;
12;34,9898;1;7;8;5;2;2015;;;;
12;34,9898;1;4;9;2;2;2015;;;;
12;34,9898;1;7;10;7;0;2015;;;;
12;34,9898;1;6;11;6;0;2015;;;;
12;34,9898;1;11;12;11;0;2015;;;;
12;34,9898;1;3;13;3;0;2015;;;;
12;34,9898;1;11;14;11;0;2015;;;;
12;34,9898;1;9;15;9;0;2015;;;;
12;34,9898;1;16;16;15;1;2015;;;;
12;34,9898;1;8;17;8;0;2015;;;;
12;34,9898;1;9;18;9;0;2015;;;;
12;34,9898;1;10;19;8;2;2015;;;;
12;34,9898;1;10;20;8;2;2015;;;;
13;34,9898;1;3;2;0;3;2015;;;;
13;34,9898;1;3;4;0;3;2015;;;;
13;34,9898;1;8;5;0;8;2015;;;;
13;34,9898;1;7;6;0;7;2015;;;;
13;34,9898;1;6;7;0;6;2015;;;;
13;34,9898;1;1;8;0;1;2015;;;;
13;34,9898;1;11;9;0;11;2015;;;;
13;34,9898;1;11;10;0;11;2015;;;;
13;34,9898;1;5;11;0;5;2015;;;;
13;34,9898;1;9;12;0;9;2015;;;;
13;34,9898;1;3;13;0;3;2015;;;;
13;34,9898;1;7;14;1;6;2015;;;;
13;34,9898;1;8;15;0;8;2015;;;;
13;34,9898;1;16;16;1;15;2015;;;;
13;34,9898;1;7;17;3;4;2015;;;;
13;34,9898;1;11;18;0;11;2015;;;;
13;34,9898;1;8;19;2;6;2015;;;;
13;34,9898;1;39;20;1;38;2015;;;;
14;34,9898;1;2;4;2;0;2015;;;;
14;34,9898;1;7;5;7;0;2015;;;;
14;34,9898;1;10;6;10;0;2015;;;;
14;34,9898;1;14;7;14;0;2015;;;;
14;34,9898;1;16;8;16;0;2015;;;;
14;34,9898;1;15;9;15;0;2015;;;;
14;34,9898;1;12;10;12;0;2015;;;;
14;34,9898;1;11;11;11;0;2015;;;;
14;34,9898;1;9;12;9;0;2015;;;;
14;34,9898;1;17;13;17;0;2015;;;;
14;34,9898;1;10;14;10;0;2015;;;;
14;34,9898;1;14;15;14;0;2015;;;;
14;34,9898;1;13;16;13;0;2015;;;;
14;34,9898;1;7;17;7;0;2015;;;;
14;34,9898;1;5;18;3;2;2015;;;;
14;34,9898;1;11;19;11;0;2015;;;;
14;34,9898;1;11;20;11;0;2015;;;;
15;34,9898;1;3;3;1;2;2015;;;;
15;34,9898;1;1;4;0;1;2015;;;;
15;34,9898;1;4;5;2;2;2015;;;;
15;34,9898;1;2;6;1;1;2015;;;;
15;34,9898;1;4;7;1;3;2015;;;;
15;34,9898;1;7;8;4;3;2015;;;;
15;34,9898;1;9;9;4;5;2015;;;;
15;34,9898;1;14;10;5;9;2015;;;;
15;34,9898;1;12;11;3;9;2015;;;;
15;34,9898;1;8;12;4;4;2015;;;;
15;34,9898;1;7;13;2;5;2015;;;;
15;34,9898;1;9;14;3;6;2015;;;;
15;34,9898;1;11;15;6;5;2015;;;;
15;34,9898;1;10;16;4;6;2015;;;;
15;34,9898;1;12;17;7;5;2015;;;;
15;34,9898;1;16;18;12;4;2015;;;;
15;34,9898;1;20;19;14;6;2015;;;;
15;34,9898;1;33;20;29;4;2015;;;;
16;34,9898;1;1;2;0;1;2015;;;;
16;34,9898;1;1;3;0;1;2015;;;;
