estaca;size;distancia;M;C
35;6;12;6;0
35;5;13;5;0
35;4;14;4;0
35;5;15;5;0
35;5;16;5;0
35;7;17;7;0
35;14;18;11;3
35;5;19;4;1
35;16;20;16;0
36;1;3;1;0
36;2;4;2;0
36;3;5;3;0
36;2;6;2;0
36;3;7;3;0
36;1;8;1;0
36;3;10;3;0
36;9;11;9;0
36;16;12;15;1
36;21;13;21;0
36;25;14;25;0
36;25;15;25;0
36;17;16;17;0
36;17;17;17;0
36;21;18;21;0
36;23;19;23;0
36;30;20;30;0
37;3;4;2;1
37;4;6;3;1
37;5;7;4;1
37;2;8;2;0
37;5;9;4;1
37;6;10;3;3
37;10;11;7;3
37;7;12;3;4
37;10;13;6;4
37;11;14;7;4
37;4;15;3;1
37;9;16;2;7
37;11;17;6;5
37;18;18;9;9
37;16;19;13;3
37;33;20;23;10
38;2;2;2;0
38;8;3;8;0
38;5;4;5;0
38;20;5;20;0
38;2;6;2;0
38;4;7;4;0
38;5;8;5;0
38;14;9;14;0
38;14;10;14;0
38;14;11;14;0
38;16;12;16;0
38;26;13;25;1
38;12;14;12;0
38;13;15;13;0
38;4;16;4;0
38;6;18;6;0
38;14;19;14;0
38;21;20;20;1
39;1;3;1;0
39;2;7;2;0
39;3;9;2;1
39;14;10;14;0
39;16;11;15;1
39;15;12;9;6
39;13;13;11;2
39;19;14;14;5
39;17;15;12;5
39;20;16;18;2
39;24;17;23;1
39;13;18;10;3
39;20;19;17;3
39;19;20;17;2
40;5;1;5;0
40;2;4;2;0
40;2;5;2;0
40;3;6;3;0
40;5;7;5;0
40;6;8;3;3
40;10;9;10;0
40;5;10;5;0
40;14;11;14;0
40;15;12;15;0
40;16;13;16;0
40;15;14;15;0
40;19;15;18;1
40;10;16;10;0
40;10;17;10;0
40;14;18;13;1
40;23;19;22;1
40;30;20;30;0
41;4;6;3;1
41;6;7;5;1
41;3;8;2;1
41;1;10;0;1
41;5;11;5;0
41;1;13;0;1
41;4;14;3;1
41;4;15;4;0
41;6;16;5;1
41;1;17;1;0
41;3;18;3;0
41;2;20;2;0
42;1;10;1;0
42;1;14;1;0
42;2;15;2;0
42;3;18;1;2
42;1;19;1;0
42;4;20;3;1
43;1;3;1;0
43;1;6;1;0
43;1;7;1;0
43;1;9;1;0
43;3;11;3;0
43;4;12;4;0
43;3;13;3;0
43;12;14;12;0
43;15;15;15;0
43;12;16;12;0
43;10;17;9;1
43;3;18;3;0
43;4;19;4;0
43;6;20;6;0
44;5;4;5;0
44;1;5;1;0
44;6;6;6;0
44;22;7;22;0
44;20;8;20;0
44;15;9;15;0
44;26;10;26;0
44;7;11;6;1
44;14;12;14;0
44;12;13;12;0
44;16;14;14;2
44;11;15;11;0
44;13;16;13;0
44;14;17;14;0
44;19;18;19;0
44;21;19;21;0
44;14;20;14;0
