Sample.Label;distance;año;tipo_nido;Region.Label;Effort;Area
2;20;2015;cueva;coloniaML;1;350000
2;20;2015;cueva;coloniaML;1;350000
2;20;2015;cueva;coloniaML;1;350000
2;20;2015;cueva;coloniaML;1;350000
2;20;2015;cueva;coloniaML;1;350000
2;20;2015;cueva;coloniaML;1;350000
2;20;2015;cueva;coloniaML;1;350000
2;20;2015;cueva;coloniaML;1;350000
2;20;2015;cueva;coloniaML;1;350000
2;20;2015;cueva;coloniaML;1;350000
2;20;2015;cueva;coloniaML;1;350000
3;1;2015;cueva;coloniaML;1;350000
3;3;2015;cueva;coloniaML;1;350000
3;3;2015;cueva;coloniaML;1;350000
3;3;2015;cueva;coloniaML;1;350000
3;3;2015;cueva;coloniaML;1;350000
3;3;2015;cueva;coloniaML;1;350000
3;4;2015;cueva;coloniaML;1;350000
3;4;2015;cueva;coloniaML;1;350000
3;5;2015;mata;coloniaML;1;350000
3;5;2015;cueva;coloniaML;1;350000
3;5;2015;cueva;coloniaML;1;350000
3;5;2015;cueva;coloniaML;1;350000
3;5;2015;cueva;coloniaML;1;350000
3;5;2015;cueva;coloniaML;1;350000
3;5;2015;cueva;coloniaML;1;350000
3;6;2015;mata;coloniaML;1;350000
3;6;2015;mata;coloniaML;1;350000
3;6;2015;mata;coloniaML;1;350000
3;6;2015;mata;coloniaML;1;350000
3;6;2015;mata;coloniaML;1;350000
3;6;2015;cueva;coloniaML;1;350000
3;6;2015;cueva;coloniaML;1;350000
3;6;2015;cueva;coloniaML;1;350000
3;6;2015;cueva;coloniaML;1;350000
3;6;2015;cueva;coloniaML;1;350000
3;6;2015;cueva;coloniaML;1;350000
3;7;2015;mata;coloniaML;1;350000
3;7;2015;mata;coloniaML;1;350000
3;7;2015;mata;coloniaML;1;350000
3;7;2015;mata;coloniaML;1;350000
3;7;2015;mata;coloniaML;1;350000
3;7;2015;mata;coloniaML;1;350000
3;7;2015;mata;coloniaML;1;350000
3;7;2015;mata;coloniaML;1;350000
3;7;2015;cueva;coloniaML;1;350000
3;7;2015;cueva;coloniaML;1;350000
3;7;2015;cueva;coloniaML;1;350000
3;7;2015;cueva;coloniaML;1;350000
3;7;2015;cueva;coloniaML;1;350000
3;7;2015;cueva;coloniaML;1;350000
3;7;2015;cueva;coloniaML;1;350000
3;8;2015;mata;coloniaML;1;350000
3;8;2015;mata;coloniaML;1;350000
3;8;2015;mata;coloniaML;1;350000
3;8;2015;mata;coloniaML;1;350000
3;8;2015;mata;coloniaML;1;350000
3;8;2015;mata;coloniaML;1;350000
3;8;2015;cueva;coloniaML;1;350000
3;8;2015;cueva;coloniaML;1;350000
3;8;2015;cueva;coloniaML;1;350000
3;8;2015;cueva;coloniaML;1;350000
3;9;2015;mata;coloniaML;1;350000
3;9;2015;mata;coloniaML;1;350000
3;9;2015;mata;coloniaML;1;350000
3;9;2015;mata;coloniaML;1;350000
3;9;2015;mata;coloniaML;1;350000
3;9;2015;mata;coloniaML;1;350000
3;9;2015;mata;coloniaML;1;350000
3;9;2015;cueva;coloniaML;1;350000
3;9;2015;cueva;coloniaML;1;350000
3;9;2015;cueva;coloniaML;1;350000
3;9;2015;cueva;coloniaML;1;350000
3;9;2015;cueva;coloniaML;1;350000
3;9;2015;cueva;coloniaML;1;350000
3;9;2015;cueva;coloniaML;1;350000
3;9;2015;cueva;coloniaML;1;350000
3;9;2015;cueva;coloniaML;1;350000
3;9;2015;cueva;coloniaML;1;350000
3;9;2015;cueva;coloniaML;1;350000
3;10;2015;mata;coloniaML;1;350000
3;10;2015;mata;coloniaML;1;350000
3;10;2015;mata;coloniaML;1;350000
3;10;2015;mata;coloniaML;1;350000
3;10;2015;mata;coloniaML;1;350000
3;10;2015;cueva;coloniaML;1;350000
3;10;2015;cueva;coloniaML;1;350000
3;10;2015;cueva;coloniaML;1;350000
3;10;2015;cueva;coloniaML;1;350000
3;10;2015;cueva;coloniaML;1;350000
3;10;2015;cueva;coloniaML;1;350000
3;10;2015;cueva;coloniaML;1;350000
3;10;2015;cueva;coloniaML;1;350000
3;10;2015;cueva;coloniaML;1;350000
3;10;2015;cueva;coloniaML;1;350000
3;10;2015;cueva;coloniaML;1;350000
3;10;2015;cueva;coloniaML;1;350000
3;10;2015;cueva;coloniaML;1;350000
3;11;2015;mata;coloniaML;1;350000
3;11;2015;mata;coloniaML;1;350000
3;11;2015;mata;coloniaML;1;350000
3;11;2015;mata;coloniaML;1;350000
3;11;2015;mata;coloniaML;1;350000
3;11;2015;mata;coloniaML;1;350000
3;11;2015;mata;coloniaML;1;350000
3;11;2015;mata;coloniaML;1;350000
3;11;2015;cueva;coloniaML;1;350000
3;11;2015;cueva;coloniaML;1;350000
3;11;2015;cueva;coloniaML;1;350000
3;11;2015;cueva;coloniaML;1;350000
3;11;2015;cueva;coloniaML;1;350000
3;11;2015;cueva;coloniaML;1;350000
3;11;2015;cueva;coloniaML;1;350000
3;11;2015;cueva;coloniaML;1;350000
3;12;2015;mata;coloniaML;1;350000
3;12;2015;mata;coloniaML;1;350000
3;12;2015;mata;coloniaML;1;350000
3;12;2015;mata;coloniaML;1;350000
3;12;2015;mata;coloniaML;1;350000
3;12;2015;mata;coloniaML;1;350000
3;12;2015;mata;coloniaML;1;350000
3;12;2015;mata;coloniaML;1;350000
3;12;2015;mata;coloniaML;1;350000
3;12;2015;mata;coloniaML;1;350000
3;12;2015;mata;coloniaML;1;350000
3;12;2015;cueva;coloniaML;1;350000
3;12;2015;cueva;coloniaML;1;350000
3;12;2015;cueva;coloniaML;1;350000
3;12;2015;cueva;coloniaML;1;350000
3;12;2015;cueva;coloniaML;1;350000
3;12;2015;cueva;coloniaML;1;350000
3;12;2015;cueva;coloniaML;1;350000
3;13;2015;mata;coloniaML;1;350000
3;13;2015;mata;coloniaML;1;350000
3;13;2015;mata;coloniaML;1;350000
3;13;2015;mata;coloniaML;1;350000
3;13;2015;mata;coloniaML;1;350000
3;13;2015;mata;coloniaML;1;350000
3;13;2015;mata;coloniaML;1;350000
3;13;2015;mata;coloniaML;1;350000
3;13;2015;mata;coloniaML;1;350000
3;13;2015;mata;coloniaML;1;350000
3;13;2015;mata;coloniaML;1;350000
3;13;2015;mata;coloniaML;1;350000
3;13;2015;mata;coloniaML;1;350000
3;13;2015;mata;coloniaML;1;350000
3;13;2015;mata;coloniaML;1;350000
3;13;2015;cueva;coloniaML;1;350000
3;13;2015;cueva;coloniaML;1;350000
3;13;2015;cueva;coloniaML;1;350000
3;14;2015;mata;coloniaML;1;350000
3;14;2015;mata;coloniaML;1;350000
3;14;2015;mata;coloniaML;1;350000
3;14;2015;mata;coloniaML;1;350000
3;14;2015;mata;coloniaML;1;350000
3;14;2015;mata;coloniaML;1;350000
3;14;2015;mata;coloniaML;1;350000
3;14;2015;mata;coloniaML;1;350000
3;14;2015;mata;coloniaML;1;350000
3;14;2015;mata;coloniaML;1;350000
3;14;2015;mata;coloniaML;1;350000
3;14;2015;mata;coloniaML;1;350000
3;14;2015;mata;coloniaML;1;350000
3;14;2015;mata;coloniaML;1;350000
3;14;2015;cueva;coloniaML;1;350000
3;14;2015;cueva;coloniaML;1;350000
3;14;2015;cueva;coloniaML;1;350000
3;14;2015;cueva;coloniaML;1;350000
3;14;2015;cueva;coloniaML;1;350000
3;15;2015;mata;coloniaML;1;350000
3;15;2015;mata;coloniaML;1;350000
3;15;2015;mata;coloniaML;1;350000
3;15;2015;mata;coloniaML;1;350000
3;15;2015;mata;coloniaML;1;350000
3;15;2015;mata;coloniaML;1;350000
3;15;2015;cueva;coloniaML;1;350000
3;15;2015;cueva;coloniaML;1;350000
3;15;2015;cueva;coloniaML;1;350000
3;16;2015;mata;coloniaML;1;350000
3;16;2015;mata;coloniaML;1;350000
3;16;2015;mata;coloniaML;1;350000
3;16;2015;mata;coloniaML;1;350000
3;16;2015;mata;coloniaML;1;350000
3;16;2015;mata;coloniaML;1;350000
3;16;2015;cueva;coloniaML;1;350000
3;16;2015;cueva;coloniaML;1;350000
3;16;2015;cueva;coloniaML;1;350000
3;16;2015;cueva;coloniaML;1;350000
3;16;2015;cueva;coloniaML;1;350000
3;16;2015;cueva;coloniaML;1;350000
3;16;2015;cueva;coloniaML;1;350000
3;16;2015;cueva;coloniaML;1;350000
3;16;2015;cueva;coloniaML;1;350000
3;16;2015;cueva;coloniaML;1;350000
3;17;2015;mata;coloniaML;1;350000
3;17;2015;mata;coloniaML;1;350000
3;17;2015;mata;coloniaML;1;350000
3;17;2015;mata;coloniaML;1;350000
3;17;2015;mata;coloniaML;1;350000
3;17;2015;cueva;coloniaML;1;350000
3;17;2015;cueva;coloniaML;1;350000
3;17;2015;cueva;coloniaML;1;350000
3;17;2015;cueva;coloniaML;1;350000
3;17;2015;cueva;coloniaML;1;350000
3;18;2015;mata;coloniaML;1;350000
3;18;2015;mata;coloniaML;1;350000
3;18;2015;mata;coloniaML;1;350000
3;18;2015;mata;coloniaML;1;350000
3;18;2015;mata;coloniaML;1;350000
3;18;2015;mata;coloniaML;1;350000
3;18;2015;mata;coloniaML;1;350000
3;18;2015;mata;coloniaML;1;350000
3;18;2015;mata;coloniaML;1;350000
3;18;2015;cueva;coloniaML;1;350000
3;18;2015;cueva;coloniaML;1;350000
3;18;2015;cueva;coloniaML;1;350000
3;18;2015;cueva;coloniaML;1;350000
3;18;2015;cueva;coloniaML;1;350000
3;18;2015;cueva;coloniaML;1;350000
3;19;2015;mata;coloniaML;1;350000
3;19;2015;mata;coloniaML;1;350000
3;19;2015;mata;coloniaML;1;350000
3;19;2015;mata;coloniaML;1;350000
3;19;2015;mata;coloniaML;1;350000
3;19;2015;mata;coloniaML;1;350000
3;19;2015;mata;coloniaML;1;350000
3;19;2015;mata;coloniaML;1;350000
3;19;2015;cueva;coloniaML;1;350000
3;19;2015;cueva;coloniaML;1;350000
3;19;2015;cueva;coloniaML;1;350000
3;19;2015;cueva;coloniaML;1;350000
3;20;2015;mata;coloniaML;1;350000
3;20;2015;mata;coloniaML;1;350000
3;20;2015;mata;coloniaML;1;350000
3;20;2015;mata;coloniaML;1;350000
3;20;2015;mata;coloniaML;1;350000
3;20;2015;mata;coloniaML;1;350000
3;20;2015;mata;coloniaML;1;350000
3;20;2015;mata;coloniaML;1;350000
3;20;2015;mata;coloniaML;1;350000
3;20;2015;mata;coloniaML;1;350000
3;20;2015;mata;coloniaML;1;350000
3;20;2015;mata;coloniaML;1;350000
3;20;2015;mata;coloniaML;1;350000
3;20;2015;mata;coloniaML;1;350000
3;20;2015;mata;coloniaML;1;350000
3;20;2015;mata;coloniaML;1;350000
3;20;2015;mata;coloniaML;1;350000
3;20;2015;cueva;coloniaML;1;350000
3;20;2015;cueva;coloniaML;1;350000
3;20;2015;cueva;coloniaML;1;350000
3;20;2015;cueva;coloniaML;1;350000
3;20;2015;cueva;coloniaML;1;350000
3;20;2015;cueva;coloniaML;1;350000
3;20;2015;cueva;coloniaML;1;350000
3;20;2015;cueva;coloniaML;1;350000
3;20;2015;cueva;coloniaML;1;350000
3;20;2015;cueva;coloniaML;1;350000
3;20;2015;cueva;coloniaML;1;350000
4;3;2015;mata;coloniaML;1;350000
4;3;2015;cueva;coloniaML;1;350000
4;3;2015;cueva;coloniaML;1;350000
4;6;2015;mata;coloniaML;1;350000
4;6;2015;mata;coloniaML;1;350000
4;6;2015;mata;coloniaML;1;350000
4;7;2015;mata;coloniaML;1;350000
4;7;2015;cueva;coloniaML;1;350000
4;8;2015;cueva;coloniaML;1;350000
4;8;2015;cueva;coloniaML;1;350000
4;8;2015;cueva;coloniaML;1;350000
4;8;2015;cueva;coloniaML;1;350000
4;8;2015;cueva;coloniaML;1;350000
4;8;2015;cueva;coloniaML;1;350000
4;9;2015;mata;coloniaML;1;350000
4;9;2015;mata;coloniaML;1;350000
4;9;2015;mata;coloniaML;1;350000
4;9;2015;cueva;coloniaML;1;350000
4;9;2015;cueva;coloniaML;1;350000
4;9;2015;cueva;coloniaML;1;350000
4;10;2015;mata;coloniaML;1;350000
4;10;2015;cueva;coloniaML;1;350000
4;10;2015;cueva;coloniaML;1;350000
4;10;2015;cueva;coloniaML;1;350000
4;11;2015;mata;coloniaML;1;350000
4;11;2015;mata;coloniaML;1;350000
4;11;2015;mata;coloniaML;1;350000
4;12;2015;mata;coloniaML;1;350000
4;12;2015;mata;coloniaML;1;350000
4;12;2015;cueva;coloniaML;1;350000
4;12;2015;cueva;coloniaML;1;350000
4;12;2015;cueva;coloniaML;1;350000
4;12;2015;cueva;coloniaML;1;350000
4;12;2015;cueva;coloniaML;1;350000
4;13;2015;mata;coloniaML;1;350000
4;13;2015;mata;coloniaML;1;350000
4;13;2015;mata;coloniaML;1;350000
4;13;2015;mata;coloniaML;1;350000
4;13;2015;cueva;coloniaML;1;350000
4;13;2015;cueva;coloniaML;1;350000
4;13;2015;cueva;coloniaML;1;350000
4;13;2015;cueva;coloniaML;1;350000
4;13;2015;cueva;coloniaML;1;350000
4;14;2015;mata;coloniaML;1;350000
4;14;2015;mata;coloniaML;1;350000
4;14;2015;cueva;coloniaML;1;350000
4;14;2015;cueva;coloniaML;1;350000
4;14;2015;cueva;coloniaML;1;350000
4;14;2015;cueva;coloniaML;1;350000
4;14;2015;cueva;coloniaML;1;350000
4;14;2015;cueva;coloniaML;1;350000
4;14;2015;cueva;coloniaML;1;350000
4;14;2015;cueva;coloniaML;1;350000
4;14;2015;cueva;coloniaML;1;350000
4;15;2015;mata;coloniaML;1;350000
4;15;2015;mata;coloniaML;1;350000
4;15;2015;mata;coloniaML;1;350000
4;15;2015;cueva;coloniaML;1;350000
4;15;2015;cueva;coloniaML;1;350000
4;15;2015;cueva;coloniaML;1;350000
4;15;2015;cueva;coloniaML;1;350000
4;16;2015;mata;coloniaML;1;350000
4;16;2015;mata;coloniaML;1;350000
4;16;2015;cueva;coloniaML;1;350000
