Sample.Label;distance;ano;tipo_nido;Region.Label;Effort;Area
3;5;2015;cueva;coloniaML;1;349898
3;5;2015;cueva;coloniaML;1;349898
3;5;2015;cueva;coloniaML;1;349898
3;5;2015;cueva;coloniaML;1;349898
3;5;2015;cueva;coloniaML;1;349898
3;6;2015;mata;coloniaML;1;349898
3;6;2015;mata;coloniaML;1;349898
3;6;2015;mata;coloniaML;1;349898
3;6;2015;mata;coloniaML;1;349898
3;6;2015;mata;coloniaML;1;349898
3;6;2015;cueva;coloniaML;1;349898
3;6;2015;cueva;coloniaML;1;349898
3;6;2015;cueva;coloniaML;1;349898
3;6;2015;cueva;coloniaML;1;349898
3;6;2015;cueva;coloniaML;1;349898
3;6;2015;cueva;coloniaML;1;349898
3;7;2015;mata;coloniaML;1;349898
3;7;2015;mata;coloniaML;1;349898
3;7;2015;mata;coloniaML;1;349898
3;7;2015;mata;coloniaML;1;349898
3;7;2015;mata;coloniaML;1;349898
3;7;2015;mata;coloniaML;1;349898
3;7;2015;mata;coloniaML;1;349898
3;7;2015;mata;coloniaML;1;349898
3;7;2015;cueva;coloniaML;1;349898
3;7;2015;cueva;coloniaML;1;349898
3;7;2015;cueva;coloniaML;1;349898
3;7;2015;cueva;coloniaML;1;349898
3;7;2015;cueva;coloniaML;1;349898
3;7;2015;cueva;coloniaML;1;349898
3;7;2015;cueva;coloniaML;1;349898
3;8;2015;mata;coloniaML;1;349898
3;8;2015;mata;coloniaML;1;349898
3;8;2015;mata;coloniaML;1;349898
3;8;2015;mata;coloniaML;1;349898
3;8;2015;mata;coloniaML;1;349898
3;8;2015;mata;coloniaML;1;349898
3;8;2015;cueva;coloniaML;1;349898
3;8;2015;cueva;coloniaML;1;349898
3;8;2015;cueva;coloniaML;1;349898
3;8;2015;cueva;coloniaML;1;349898
3;9;2015;mata;coloniaML;1;349898
3;9;2015;mata;coloniaML;1;349898
3;9;2015;mata;coloniaML;1;349898
3;9;2015;mata;coloniaML;1;349898
3;9;2015;mata;coloniaML;1;349898
3;9;2015;mata;coloniaML;1;349898
3;9;2015;mata;coloniaML;1;349898
